ID,Community,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls
3fe9ae90,1,Akos-Buzsaky,Hungary,1982,12,7,5,"['1st', '13th', '17th', '14th', '11th', '10th', '14th', '11th', '13th', '1st', '17th', '21st', '24th', '3rd']",239,33.0
40019289,0,Matthieu-Delpierre,France,1981,16,6,6,"['3rd', '5th', '14th', '10th', '5th', '9th', '1st', '6th', '3rd', '6th', '12th', '6th', '11th', '16th', '10th', '1st', '6th']",319,8.0
4007ea81,1,Tom-James,Wales,1996,8,6,4,"['20th', '20th', '19th', '24th', '7th', '8th', '20th', '13th', '2nd']",141,15.0
402077cd,1,Marc-Antoine-Fortune,France,1981,15,10,6,"['14th', '6th', '9th', '13th', '4th', '15th', '20th', '2nd', '2nd', '11th', '24th', '10th', '8th', '5th', '23rd', '8th', '7th', '10th', '15th']",450,70.0
40221fa7,2,Banzouzi-Locko,France,2002,2,1,1,"['12th', '15th']",34,1.0
403d2184,1,Niko-Kranjcar,Croatia,1984,12,6,4,"['9th', '8th', '14th', '20th', '4th', '5th', '4th', '3rd', '4th', '20th', '1st', '3rd', '3rd']",219,28.0
403f5d20,2,Olivier-Boscagli,France,1997,8,3,3,"['11th', '4th', '3rd', '2nd', '8th', '7th', '4th', '2nd', '2nd']",126,7.0
40449bbd,3,Esteban-Burgos,Argentina,1992,10,5,3,"['16th', '22nd', '7th', '12th', '13th', '14th', '14th', '20th', '3rd', '22nd']",147,12.0
4047c976,1,Aboubakar-Kamara,Mauritania,1995,9,8,7,"['3rd', '7th', '2nd', '3rd', '5th', '19th', '4th', '20th', '18th', '1st', '3rd', '3rd']",176,34.0
405f267a,3,Salvi,Spain,1991,7,2,2,"['5th', '9th', '7th', '2nd', '12th', '17th', '10th']",196,18.0
405f6586,4,Milan-Djuric,Bosnia and Herzegovina,1990,14,9,4,"['22nd', '2nd', '17th', '11th', '11th', '17th', '14th', '19th', '9th', '6th', '13th', '17th', '11th', '16th', '10th', '2nd', '17th', '18th']",401,69.0
406eb232,1,Jelle-Van-Damme,Belgium,1983,19,9,8,"['2nd', '1st', '20th', '2nd', '1st', '2nd', '2nd', '1st', '17th', '2nd', '5th', '4th', '2nd', '4th', '8th', '6th', '22nd', '12th', '4th', '8th']",433,39.0
40726d19,2,Albert-Rafetraniaina,Madagascar,1996,5,2,2,"['4th', '17th', '11th', '5th', '4th', '3rd']",30,0.0
40774c6b,2,Bamba-Dieng,Senegal,2000,3,1,1,"['5th', '2nd', '3rd']",32,7.0
407db0d5,1,Mads-Bidstrup,Denmark,2001,6,4,5,"['2nd', '4th', '17th', '3rd', '13th', '9th', '1st']",64,6.0
407feb71,3,Brahim-Diaz,Spain,1999,7,3,4,"['2nd', '6th', '1st', '3rd', '1st', '2nd', '1st', '3rd']",117,21.0
4085f08e,4,Haitam-Aleesami,Norway,1991,8,5,6,"['15th', '2nd', '4th', '19th', '4th', '11th', '19th', '9th']",179,4.0
40872399,4,Fabio-Della-Giovanna,Italy,1997,3,3,2,"['4th', '18th', '17th']",3,0.0
40883e3a,3,Enric-Franquesa,Spain,1997,4,3,2,"['11th', '5th', '19th', '17th']",72,3.0
408ec22e,3,Francisco-Punal,Spain,1975,13,1,1,"['17th', '11th', '13th', '15th', '4th', '14th', '17th', '15th', '12th', '9th', '7th', '16th', '18th']",420,22.0
40965cd3,2,Onyekachi-Apam,Nigeria,1986,6,2,1,"['16th', '8th', '9th', '15th', '6th', '13th']",128,1.0
409a29d7,1,Luke-Young,England,1979,15,5,2,"['11th', '10th', '12th', '14th', '12th', '7th', '11th', '13th', '19th', '13th', '6th', '6th', '9th', '16th', '17th', '4th']",379,9.0
40a520a4,3,Oleksandr-Yakovenko,Ukraine,1987,12,10,7,"['11th', '17th', '2nd', '10th', '2nd', '2nd', '11th', '8th', '12th', '1st', '1st', '11th', '4th', '13th', '1st']",194,31.0
40a814af,1,Kevin-McNaughton,Scotland,1982,17,5,4,"['7th', '4th', '8th', '11th', '4th', '6th', '13th', '12th', '7th', '4th', '4th', '6th', '1st', '20th', '14th', '18th', '1st', '12th']",462,5.0
40b58bfc,0,Janni-Serra,Germany,1998,7,4,3,"['2nd', '6th', '6th', '11th', '3rd', '17th', '18th']",130,36.0
40c7cdd2,3,Javi-Marquez,Spain,1986,11,6,3,"['11th', '8th', '14th', '18th', '16th', '17th', '16th', '20th', '4th', '15th', '20th']",223,15.0
40ca7873,4,Gianluca-Curci,Italy,1985,14,7,4,"['8th', '2nd', '2nd', '2nd', '14th', '19th', '18th', '7th', '13th', '19th', '2nd', '6th', '3rd', '3rd']",225,0.0
40e34fb7,3,Unai-Alba,Spain,1978,3,1,2,"['6th', '4th', '19th']",37,0.0
40e417fa,3,Oscar-Ustari,Argentina,1986,14,5,4,"['14th', '17th', '6th', '16th', '12th', '16th', '17th', '10th', '11th', '5th', '10th', '10th', '4th', '4th']",219,0.0
40ef7347,2,Rafael-Ratao,Brazil,1995,6,5,4,"['5th', '17th', '16th', '5th', '1st', '11th']",80,21.0
40f0ed6c,4,Luca-Antonelli,Italy,1987,17,6,3,"['4th', '11th', '19th', '2nd', '8th', '12th', '10th', '17th', '17th', '14th', '6th', '10th', '7th', '6th', '6th', '18th', '7th', '1st', '8th', '7th']",276,15.0
40f3ff51,0,Papiss-Cisse,Senegal,1985,16,8,6,"['20th', '20th', '4th', '14th', '9th', '12th', '5th', '16th', '10th', '15th', '18th', '14th', '6th', '9th', '5th', '3rd', '17th', '2nd']",340,145.0
40fc30d6,3,Ramon-Arcas,Spain,1991,2,2,2,"['12th', '17th']",34,0.0
40ff763c,2,William-Remy,France,1991,12,5,4,"['12th', '7th', '6th', '4th', '12th', '15th', '1st', '2nd', '1st', '1st', '8th', '10th']",170,9.0
41017ad5,1,Luke-Garbutt,England,1993,11,8,5,"['6th', '16th', '5th', '11th', '20th', '23rd', '7th', '8th', '12th', '11th', '3rd', '16th', '19th']",201,21.0
410ab123,0,Lewis-Holtby,Germany,1990,16,9,4,"['7th', '4th', '17th', '2nd', '5th', '3rd', '4th', '5th', '19th', '6th', '5th', '16th', '10th', '14th', '17th', '4th', '11th', '15th', '9th', '9th']",378,44.0
4112ace5,3,Unai-Vencedor-Paris,Spain,2000,4,1,1,"['11th', '10th', '8th', '3rd']",65,0.0
4114f306,0,Marco-Hoger,Germany,1989,14,4,3,"['13th', '10th', '3rd', '4th', '3rd', '6th', '5th', '5th', '18th', '1st', '14th', '16th', '5th', '6th']",267,17.0
4115ce4e,1,Jan-Bednarek,Poland,1996,10,4,3,"['2nd', '1st', '14th', '3rd', '6th', '17th', '16th', '11th', '15th', '15th', '17th', '16th']",189,8.0
411fabd7,3,Orbelin-Pineda,Mexico,1996,9,5,3,"['9th', '15th', '10th', '4th', '16th', '14th', '2nd', '5th', '1st', '7th', '11th', '2nd']",233,26.0
412e1445,1,Connor-Randall,England,1995,9,6,6,"['2nd', '8th', '4th', '3rd', '6th', '4th', '16th', '8th', '16th', '6th', '12th']",104,0.0
4133cfcf,4,Svante-Ingelsson,Sweden,1998,10,5,4,"['13th', '6th', '12th', '14th', '12th', '17th', '14th', '9th', '13th', '10th']",128,5.0
413cce14,3,Franco-Jara,Argentina,1988,11,5,5,"['2nd', '2nd', '17th', '1st', '1st', '1st', '8th', '3rd', '12th', '6th', '10th', '10th', '23rd', '3rd']",279,92.0
41473b67,0,Rafael-van-der-Vaart,Netherlands,1983,19,7,5,"['3rd', '1st', '2nd', '1st', '2nd', '3rd', '7th', '4th', '2nd', '2nd', '5th', '4th', '5th', '7th', '16th', '16th', '10th', '4th', '1st', '3rd']",416,133.0
